Species,Country.of.Origin,Region,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,Mexico,chiapas,400,1 kg,AMECAFE,2013,"March 29th, 2013",Bourbon,Washed / Wet,7.33,7.08,7.08,7.33,7.42,7.17,9.33,10.0,10.0,7.17,79.92,0.12,0,0.0,Green,4,"March 29th, 2014",AMECAFE,m,1300.0,1300.0,1300.0
Arabica,Mexico,"motozintla, chiapas",10,1 kg,AMECAFE,2012,"September 11th, 2012",Other,Washed / Wet,7.17,7.17,6.92,7.25,7.33,7.08,10.0,10.0,10.0,7.0,79.92,0.12,1,0.0,Green,7,"September 11th, 2013",AMECAFE,m,1100.0,1100.0,1100.0
Arabica,Mexico,veracruz,82,1 kg,AMECAFE,2012,"August 30th, 2012",Bourbon,Washed / Wet,7.5,7.17,7.0,7.17,7.25,7.08,10.0,10.0,10.0,6.75,79.92,0.0,0,0.0,None,0,"August 30th, 2013",AMECAFE,m,1100.0,1100.0,1100.0
Arabica,Mexico,jaltenango,250,1 kg,AMECAFE,2012,"July 26th, 2012",Catuai,Washed / Wet,7.17,7.08,7.08,7.08,7.5,7.33,9.33,10.0,10.0,7.33,79.92,0.11,0,0.0,Green,3,"July 26th, 2013",AMECAFE,m,1100.0,1100.0,1100.0
Arabica,Mexico,coatepec,100,1 kg,AMECAFE,2012,"July 11th, 2012",Typica,Natural / Dry,7.33,7.25,7.0,7.42,7.17,7.17,9.33,10.0,10.0,7.25,79.92,0.12,0,0.0,Green,6,"July 11th, 2013",AMECAFE,m,1250.0,1250.0,1250.0
Arabica,Mexico,veracruz,209,1 kg,AMECAFE,2012,"July 11th, 2012",Mundo Novo,Washed / Wet,7.17,7.33,7.08,7.58,7.33,7.08,10.0,9.33,10.0,7.0,79.92,0.11,0,0.0,Green,0,"July 11th, 2013",AMECAFE,m,1250.0,1250.0,1250.0
Arabica,United States (Hawaii),kona,40,100 lbs,Specialty Coffee Association,2012,"September 22nd, 2011",Other,Washed / Wet,7.5,7.42,7.58,7.42,7.5,7.58,8.67,8.67,10.0,7.58,79.92,0.05,3,0.0,None,0,"September 21st, 2012",Specialty Coffee Association,ft,1759.5489542435423,1808.8438029520298,1784.196378597786
Arabica,Kenya,kiambu,200,12000 kg,Kenya Coffee Traders Association,2017,"August 25th, 2017",SL34,Washed / Wet,7.0,7.08,7.0,7.17,7.25,7.25,10.0,10.0,10.0,7.08,79.83,0.11,0,1.0,None,5,"August 25th, 2018",Kenya Coffee Traders Association,m,1500.0,1500.0,1500.0
Arabica,Guatemala,san marcos,50,69 kg,Asociacion Nacional Del Café,2017,"August 22nd, 2017",Bourbon,Washed / Wet,7.33,7.25,6.92,7.33,7.25,7.33,9.33,10.0,10.0,7.08,79.83,0.1,0,0.0,Green,2,"August 22nd, 2018",Asociacion Nacional Del Café,m,1700.0,1700.0,1700.0
Arabica,Nicaragua,jinotega,75,2 kg,Asociación de Cafés Especiales de Nicaragua,2014,"March 30th, 2015",Caturra,Washed / Wet,6.83,7.17,7.17,6.92,7.5,7.08,10.0,10.0,10.0,7.17,79.83,0.11,0,0.0,Green,0,"March 29th, 2016",Asociación de Cafés Especiales de Nicaragua,m,1250.0,1250.0,1250.0
Arabica,Mexico,veracruz,250,1 kg,AMECAFE,2012,"July 11th, 2012",Typica,Washed / Wet,7.17,7.08,7.0,7.25,7.5,7.0,10.0,10.0,10.0,6.83,79.83,0.12,0,0.0,Green,3,"July 11th, 2013",AMECAFE,m,1300.0,1300.0,1300.0
Arabica,United States (Hawaii),kona,12,100 lbs,Specialty Coffee Association,2012,"April 5th, 2012",Hawaiian Kona,Natural / Dry,7.58,7.08,6.83,7.17,7.5,7.17,9.33,10.0,10.0,7.17,79.83,0.12,7,0.0,Blue-Green,10,"April 5th, 2013",Specialty Coffee Association,ft,1759.5489542435423,1808.8438029520298,1784.196378597786
Arabica,Guatemala,oriente,25,69 kg,Asociacion Nacional Del Café,2016,"June 22nd, 2017",Bourbon,Washed / Wet,7.5,7.42,7.25,7.58,7.33,7.42,9.33,9.33,9.33,7.25,79.75,0.1,0,4.0,Green,1,"June 22nd, 2018",Asociacion Nacional Del Café,m,190164.0,190164.0,190164.0
Arabica,Taiwan,"taiwu township , pingtung county 屏東縣泰武鄉",28,50 kg,Specialty Coffee Association,2014,"March 21st, 2015",Typica,Natural / Dry,7.75,7.33,7.17,7.33,7.67,7.83,9.33,9.33,8.67,7.33,79.75,0.0,0,0.0,None,0,"March 20th, 2016",Specialty Coffee Association,m,800.0,1200.0,1000.0
Arabica,Taiwan,"baihe dist., tainan city 臺南市白河區",50,20 kg,Specialty Coffee Association,2013,"July 28th, 2014",Typica,Washed / Wet,7.08,7.08,7.25,7.0,7.17,7.17,10.0,10.0,10.0,7.0,79.75,0.1,0,0.0,Blue-Green,0,"July 28th, 2015",Specialty Coffee Association,m,500.0,700.0,600.0
Arabica,Thailand,thailand,1,1 kg,Specialty Coffee Association,2013,"June 16th, 2014",Other,Washed / Wet,7.25,7.08,6.92,7.5,7.08,6.92,10.0,10.0,10.0,7.0,79.75,0.12,0,0.0,Green,0,"June 16th, 2015",Specialty Coffee Association,m,800.0,800.0,800.0
Arabica,Peru,huanuco,320,5 lbs,Specialty Coffee Association,2013,"January 23rd, 2014",Other,Washed / Wet,7.0,7.08,7.0,7.25,7.5,7.42,9.33,10.0,10.0,7.17,79.75,0.12,1,0.0,Green,2,"January 23rd, 2015",Specialty Coffee Association,m,1759.5489542435423,1808.8438029520298,1784.196378597786
Arabica,Costa Rica,brunca,275,2 kg,Specialty Coffee Association,2013,"September 23rd, 2013",Catuai,Washed / Wet,7.58,7.5,7.67,7.75,7.67,7.58,8.0,8.0,10.0,8.0,79.75,0.1,0,0.0,Bluish-Green,4,"September 23rd, 2014",Specialty Coffee Association,m,1100.0,1100.0,1100.0
Arabica,Mexico,"la concordia, chiapas",310,1 kg,AMECAFE,2013,"March 29th, 2013",Typica,Washed / Wet,7.58,7.08,7.0,7.0,7.5,6.92,10.0,10.0,10.0,6.67,79.75,0.12,0,0.0,Green,4,"March 29th, 2014",AMECAFE,m,1400.0,1400.0,1400.0
Arabica,Mexico,chiapas,275,1 kg,AMECAFE,2013,"March 29th, 2013",Bourbon,Washed / Wet,7.58,7.08,6.92,7.58,7.5,6.92,10.0,9.33,10.0,6.83,79.75,0.13,0,0.0,Green,4,"March 29th, 2014",AMECAFE,m,1022.0,1022.0,1022.0
Arabica,Mexico,chiapas,380,1 kg,AMECAFE,2013,"March 29th, 2013",Bourbon,Washed / Wet,7.25,7.08,7.0,7.17,7.17,7.08,10.0,10.0,10.0,7.0,79.75,0.12,0,0.0,Green,5,"March 29th, 2014",AMECAFE,m,1300.0,1300.0,1300.0
Arabica,Mexico,zaragoza itundujia,12,1 kg,AMECAFE,2012,"September 14th, 2012",Bourbon,Washed / Wet,7.25,7.17,7.17,7.08,7.17,7.0,10.0,10.0,10.0,6.92,79.75,0.14,0,0.0,None,0,"September 14th, 2013",AMECAFE,m,1450.0,1450.0,1450.0
